"id_gene","symbol","name","organism","functions","phenotype","homologues","reference","pubmed","mouse_homologs","yeast_homologs","fly_homologs","worm_homologs","entrez_id","unigene","ensembl","uniprot","alias","hidden"
2076,"APC5","anaphase promoting complex subunit 5","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854423,"","","","RMC1",NULL
2077,"MIG1","transcription factor MIG1","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,852848,"","","","CAT4 SSN1 TDS22",NULL
2078,"TDH2","glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH2","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,853465,"","","","GLD2",NULL
2079,"nsun-5","Nop2 (NOP2)/SUN domain family member","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175153,".8622","","","",NULL
2080,"Mstn","myostatin","Mus musculus","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,17700,"","","","",NULL
2081,"ZC395.10","Co-chaperone protein daf-41","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175727,NULL,NULL,NULL,NULL,NULL
2082,"Siglece","sialic acid binding Ig-like lectin E","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,83382,NULL,NULL,NULL,NULL,NULL
2083,"Vinc","Vinculin","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,31201,NULL,NULL,NULL,NULL,NULL
2084,"AhcyL1","Adenosylhomocysteinase like 1","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,38342,NULL,NULL,NULL,NULL,NULL
2085,"AhcyL2","Adenosylhomocysteinase like 2","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,42043,NULL,NULL,NULL,NULL,NULL
2086,"teq","Tequila","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,39048,NULL,NULL,NULL,NULL,NULL
2087,"impt-1","Protein IMPACT homolog","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,173001,NULL,NULL,NULL,NULL,NULL
2088,"trh","trachealess","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,38065,NULL,NULL,NULL,NULL,NULL
2089,"5-HT2A","5-hydroxytryptamine (serotonin) receptor 2A","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,40575,NULL,NULL,NULL,NULL,NULL
2090,"JhI-21","CG12317-PA","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,34624,NULL,NULL,NULL,NULL,NULL
2091,"eif-3.K","Eukaryotic translation initiation factor 3 subunit K","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179779,NULL,NULL,NULL,NULL,NULL
2092,"lin-28","Protein lin-28","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,172626,NULL,NULL,NULL,NULL,NULL
2093,"apl-1","Beta-amyloid-like protein","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,180783,NULL,NULL,NULL,NULL,NULL
2094,"hel-1","Spliceosome RNA helicase DDX39B homolog","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,174333,NULL,NULL,NULL,NULL,NULL
2095,"miro-1","Mitochondrial Rho GTPase 1","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177238,NULL,NULL,NULL,NULL,NULL
2096,"Gnmt","Glycine N-methyltransferase","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,41561,NULL,NULL,NULL,NULL,NULL
2097,"elc-1","ELongin C","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,190775,NULL,NULL,NULL,NULL,NULL
2098,"Nmdmc","NAD-dependent methylenetetrahydrofolate dehydrogenase","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,47895,NULL,NULL,NULL,NULL,NULL
2099,"CG9940","CG9940","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,32328,NULL,NULL,NULL,NULL,NULL
2100,"bmk-1","Kinesin-like protein","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179948,NULL,NULL,NULL,NULL,NULL
2101,"acn-1","Inactive angiotensin-converting enzyme-related protein","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,180780,NULL,NULL,NULL,NULL,NULL
2102,"CG14207","CG14207-PA","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,32955,NULL,NULL,NULL,NULL,NULL
2103,"Hsp67Bc","Heat shock gene 67Bc","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,39071,NULL,NULL,NULL,NULL,NULL
2104,"G6PD","glucose-6-phosphate dehydrogenase","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2539,NULL,NULL,NULL,NULL,NULL
2105,"ATPCL","ATP citrate lyase","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,36760,NULL,NULL,NULL,NULL,NULL
2106,"chm","chameau","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,43928,NULL,NULL,NULL,NULL,NULL
2107,"argk-1","ARGinine Kinase","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,180080,NULL,NULL,NULL,NULL,NULL
2108,"Top3alpha","Topoisomerase 3alpha","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,35236,NULL,NULL,NULL,NULL,NULL
2109,"TSA1","thioredoxin peroxidase TSA1","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854980,NULL,NULL,NULL,NULL,NULL
2110,"SSC1","Hsp70 family ATPase SSC1","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,853503,NULL,NULL,NULL,NULL,NULL
2111,"PHO84","phosphate transporter PHO84","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854916,NULL,NULL,NULL,NULL,NULL
2112,"bcat-1","Branched-chain-amino-acid aminotransferase, cytosolic","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,181423,NULL,NULL,NULL,NULL,NULL
2113,"T25B9.1","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177968,NULL,NULL,NULL,NULL,NULL
2114,"ndk-1","Nucleoside diphosphate kinase","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,172939,NULL,NULL,NULL,NULL,NULL
2115,"ifd-1","Intermediate filament protein ifd-1","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,187585,NULL,NULL,NULL,NULL,NULL
2116,"tba-4","Tubulin alpha chain","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,174680,NULL,NULL,NULL,NULL,NULL
2117,"ifa-3","Intermediate filament protein ifa-3","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,181699,NULL,NULL,NULL,NULL,NULL
2118,"try-1","TRYpsin-like protease","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,173856,NULL,NULL,NULL,NULL,NULL
2119,"ifp-1","Intermediate filament protein ifp-1","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,181182,NULL,NULL,NULL,NULL,NULL
2120,"fkh-7","ForKHead transcription factor family","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177340,NULL,NULL,NULL,NULL,NULL
2121,"csp-2","CaSPase","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177391,NULL,NULL,NULL,NULL,NULL
2122,"RPL16B","ribosomal 60S subunit protein L16B","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,855655,NULL,NULL,NULL,NULL,NULL
2123,"RPL26A","ribosomal 60S subunit protein L26A","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,851058,NULL,NULL,NULL,NULL,NULL
2124,"RPL2B","ribosomal 60S subunit protein L2B","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854794,NULL,NULL,NULL,NULL,NULL
2125,"RPL35A","ribosomal 60S subunit protein L35A","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,851336,NULL,NULL,NULL,NULL,NULL
2126,"RPS12","ribosomal 40S subunit protein S12","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854551,NULL,NULL,NULL,NULL,NULL
2127,"IMG1","mitochondrial 54S ribosomal protein IMG1","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,850413,NULL,NULL,NULL,NULL,NULL
2128,"IMG2","mitochondrial 54S ribosomal protein IMG2","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,850434,NULL,NULL,NULL,NULL,NULL
2129,"MRPL33","mitochondrial 54S ribosomal protein YmL33","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,855330,NULL,NULL,NULL,NULL,NULL
2130,"MRPL40","mitochondrial 54S ribosomal protein YmL40","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,855930,NULL,NULL,NULL,NULL,NULL
2131,"MRPL49","mitochondrial 54S ribosomal protein YmL49","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,853349,NULL,NULL,NULL,NULL,NULL
2132,"MSK1","lysine--tRNA ligase MSK1","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,855651,NULL,NULL,NULL,NULL,NULL
2133,"MRX14","putative mitochondrial 54S ribosomal protein","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,851692,NULL,NULL,NULL,NULL,NULL
2134,"SDH5","succinate dehydrogenase assembly factor SDH5","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854083,NULL,NULL,NULL,NULL,NULL
2135,"SDH1","succinate dehydrogenase flavoprotein subunit SDH1","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,853709,NULL,NULL,NULL,NULL,NULL
2136,"SDH2","succinate dehydrogenase iron-sulfur protein subunit SDH2","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,850685,NULL,NULL,NULL,NULL,NULL
2137,"ALG6","dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854163,NULL,NULL,NULL,NULL,NULL
2138,"EOS1","Eos1p","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,855644,NULL,NULL,NULL,NULL,NULL
2139,"MNN1","alpha-1,3-mannosyltransferase MNN1","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,856718,NULL,NULL,NULL,NULL,NULL
2140,"MNN2","alpha-1,2-mannosyltransferase MNN2","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,852303,NULL,NULL,NULL,NULL,NULL
2141,"PMT5","putative dolichyl-phosphate-mannose-protein mannosyltransferase PMT5","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,851464,NULL,NULL,NULL,NULL,NULL
2142,"YUR1","mannosyltransferase YUR1","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,853302,NULL,NULL,NULL,NULL,NULL
2143,"SGF11","SAGA histone acetyltransferase complex subunit SGF11","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,856060,NULL,NULL,NULL,NULL,NULL
2144,"Mtbp","Mdm2, transformed 3T3 cell double minute p53 binding protein","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,105837,NULL,NULL,NULL,NULL,NULL
2145,"hlh-30","Helix Loop Helix","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177157,NULL,NULL,NULL,NULL,NULL
2146,"lin-65","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,171739,NULL,NULL,NULL,NULL,NULL
2147,"met-2","Histone-lysine N-methyltransferase met-2","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,176183,NULL,NULL,NULL,NULL,NULL
2148,"Ire1","Inositol-requiring enzyme-1","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,42358,NULL,NULL,NULL,NULL,NULL
2149,"NAT4","Nat4p","Saccharomyces cerevisiae",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,855091,NULL,NULL,NULL,NULL,NULL
2150,"Hex-A","Hexokinase A","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,45875,NULL,NULL,NULL,NULL,NULL
2151,"Hex-C","Hexokinase C","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,44008,NULL,NULL,NULL,NULL,NULL
2152,"Gpdh","Glycerol 3 phosphate dehydrogenase","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,33824,NULL,NULL,NULL,NULL,NULL
2153,"GMFB","glia maturation factor beta","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2764,NULL,NULL,NULL,NULL,NULL
2154,"fmo-2","Dimethylaniline monooxygenase [N-oxide-forming]","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177958,NULL,NULL,NULL,NULL,NULL
2155,"vit-1","Vitellogenin-1","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,181034,NULL,NULL,NULL,NULL,NULL
2156,"ule-1","Uterine Lumin Expressed/locailized","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,171778,NULL,NULL,NULL,NULL,NULL
2157,"ule-2","Uterine Lumin Expressed/locailized","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,4927009,NULL,NULL,NULL,NULL,NULL
2158,"ule-3","Uterine Lumin Expressed/locailized","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179497,NULL,NULL,NULL,NULL,NULL
2159,"ule-4","UPF0375 protein C08F11.11","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,178331,NULL,NULL,NULL,NULL,NULL
2160,"ule-5","Uterine Lumin Expressed/locailized","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,181365,NULL,NULL,NULL,NULL,NULL
2161,"mml-1","Myc and Mondo-Like","Caenorhabditis elegans",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,176050,NULL,NULL,NULL,NULL,NULL
2162,"Per2","period circadian clock 2","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,18627,NULL,NULL,NULL,NULL,NULL
2163,"SOD3","superoxide dismutase 3","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,6649,NULL,NULL,NULL,NULL,NULL
2164,"mir-124","mir-124","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,3565990,"","","","",NULL
2165,"mir-34","mir-34","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,260162,"","","","",NULL
2166,"mir-71","mir-71","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,260100,"","","","",NULL
2167,"mir-246","mir-246","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,3565660,"","","","",NULL
2168,"mir-238","mir-238","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,3564977,"","","","",NULL
2169,"mir-238","mir-238","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,3565806,"","","","",NULL
2170,"mir-277","mir-277 stem loop","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,12798086,NULL,NULL,NULL,NULL,NULL
2171,"Mir17","microRNA 17","Mus musculus",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,723905,NULL,NULL,NULL,NULL,NULL
2172,"mir-125","mir-125 stem loop","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,12798013,NULL,NULL,NULL,NULL,NULL
2173,"Mir29a","microRNA 29a","Mus musculus","Deletion of Mir29 increased lifespan in males and decreased lifespan in females. In males mean lifespan was 14% higher and maximum lifespan was 7% higher compared to wild type mice. In females mean lifespan was 11% lower and maximum lifespan was 6% lower compared to wild type mice. ",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,387222,"","","","",NULL
2174,"mir-14","mir-14 stem loop","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,12798384,NULL,NULL,NULL,NULL,NULL
2175,"mir-80","microRNA-80","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,3565575,"","","","",NULL
2176,"mir-34","mir-34 stem loop","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,12798087,NULL,NULL,NULL,NULL,NULL
2213,"tald-1","Transaldolase","Caenorhabditis elegans","","Downregulation of tald-1 in worms increased lifespan by 14%. This increase only occurred if knock-down took place throughout development. Tald-1 downregulation in adult worms had no effect on lifespan. ","","Bennet CF et al,. 2017",28355222,NULL,NULL,NULL,NULL,177202,"","","","",NULL
2215,"Drp1","Dynamin related protein 1","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,33445,"","","","",NULL
2216,"OTC","ornithine carbamoyltransferase","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,5009,"","","","",NULL
2234,"cyk-3","cyk-3","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175853,"","","","",NULL
2235,"Sirt4","Sirtuin 4","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,31480,"","","","",NULL
2236,"let-7","let-7","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,12798012,"","","","",NULL
2237,"mir-184","mir-184 stem loop","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,12798434,"","","","",NULL
2238,"RpIIIC53","RNA polymerase III subunit C53","Drosophila melanogaster",NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,40002,NULL,NULL,NULL,NULL,NULL
2219,"Pgam5","Phosphoglycerate mutase 5","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,31143,"","","","",NULL
2220,"npr-1","NeuroPeptide Receptor family","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,180752,"","","","",NULL
2221,"memo-1","MEdiator of cell MOtility 1 homolog","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,179163,"","","","",NULL
2222,"SPCC70.05c","putative serine/threonine protein kinase","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2538820,"","","","",NULL
2223,"ght5","hexose transporter Ght5","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2539240,"","","","",NULL
2224,"CAN1","arginine permease CAN1","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,856646,"","","","",NULL
2225,"kynu-1","kynu-1","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,180883,"","","","",NULL
2226,"iglr-1","iglr-1","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,184720,"","","","",NULL
2227,"tsp-3","TetraSPanin 3","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,192059,"","","","",NULL
2228,"rcan-1","Regulator of CAalciNeurin","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,175788,"","","","",NULL
2229,"unc-36","unc-36","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,176155,"","","","",NULL
2230,"Prp19","Pre-RNA processing factor 19","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,37123,"","","","",NULL
2231,"Akt2","thymoma viral proto-oncogene 2","Mus musculus","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,11652,"","","","",NULL
2232,"ergo-1","Endogenous-RNAi deficient arGOnaute","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,178602,"","","","",NULL
2233,"dot-1.1","DOT1 histone methyltransferase","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,171797,"","","","",NULL
2239,"rpc-1","RNA Polymerase, Class III","Caenorhabditis elegans","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,177491,"","","","",NULL
2240,"RPO31","RPO31","Saccharomyces cerevisiae","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,854283,"","","","",NULL
2241,"fkh","fork head","Drosophila melanogaster","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,43383,"","","","",NULL
2242,"SPBC1198.07c","SPBC1198.07c","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2539836,"","","","",NULL
2270,"SPCC594.02c","SPCC594.02c","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2538998,"","","","",NULL
2271,"gyp3","GTPase-activating protein gyp3","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2539298,"","","","",NULL
2245,"vps66","vps66","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542362,"","","","SPAC1783.02c",NULL
2246,"frp2"," ferric-chelate reductase 2","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541227,"","","","",NULL
2247,"ncs1","neuronal calcium sensor related protein","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542523,"","","","",NULL
2248,"rho2","rho2","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542773,"","","","",NULL
2249,"SPAC23D3.03c","GTPase activating protein","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541482,"","","","",NULL
2250,"SPAC8E11.05c","DUF5102 family conserved fungal protein","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542654,"","","","",NULL
2251,"tps3","alpha,alpha-trehalose-phosphate synthase","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542498,"","","","SPACUNK4.16c",NULL
2252,"SPBC1921.04c","SPBC1921.04c","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2540844,"","","","",NULL
2253,"SPCC320.03","SPCC320.03","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2538949,"","","","",NULL
2254,"SPCC594.01","DUF1769 family protein","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2538708,"","","","",NULL
2255,"apl1","AP-2 adaptor complex beta subunit Apl1","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2540375,"","","","",NULL
2256,"aps2","AP-2 adaptor complex sigma subunit Aps2","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541086,"","","","",NULL
2257,"apl3","AP-2 adaptor complex alpha subunit Alp3","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541162,"","","","",NULL
2258,"hht1"," histone H3 h3.1","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542467,"","","","",NULL
2259,"mrc1","mrc1","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2543240,"","","","",NULL
2260,"msh3","MutS protein homolog 3","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2543392,"","","","",NULL
2261,"plb1"," phospholipase B homolog Plb1","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2542497,"","","","",NULL
2262,"set9","histone lysine H4-K20 methyltransferase Set9","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2539545,"","","","",NULL
2263,"spo4","serine/threonine protein kinase Spo4","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2540745,"","","","",NULL
2264,"tfs1","transcription elongation factor TFIIS","Schizosaccharomyces pombe","",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,2541941,"","","","",NULL
